date,note_id,title,type,status,wip_count,orphan_count,broken_links,confidence,event
2026-08-31,engine-a,Engine A hygiene,system,active,1,0,7,0,hygiene_scan
2026-08-31,engine-a,Engine A hygiene,system,active,1,0,7,0,hygiene_scan
2026-08-31,engine-b,Engine B synthesis,system,active,0,0,0,0.2,synthesis insights=0 atomics=0 specs=0
2026-08-31,engine-b,Engine B synthesis,system,active,0,0,0,0.9,synthesis insights=0 atomics=1 specs=4
2026-08-31,engine-b,Engine B synthesis,system,active,0,0,0,0.9,synthesis insights=12 atomics=1 specs=1
2026-08-31,engine-a,Engine A hygiene,system,active,5,1,8,0,hygiene_scan
2026-08-31,engine-b,Engine B synthesis,system,active,0,0,0,0.2,synthesis insights=0 atomics=0 specs=0
2026-08-31,engine-b,Engine B synthesis,system,active,0,0,0,0.2,synthesis insights=0 atomics=0 specs=0
2026-08-31,engine-b,Engine B synthesis,system,active,0,0,0,0.2,synthesis insights=0 atomics=0 specs=0
2026-08-31,engine-a,Engine A hygiene,system,active,9,3,20,0,hygiene_scan
2026-08-31,engine-b,Engine B synthesis,system,active,0,0,0,0.9,synthesis insights=5 atomics=2 specs=5
2026-09-01,engine-a,Engine A hygiene,system,active,14,10,30,0,hygiene_scan
2026-09-01,engine-a,Engine A hygiene,system,active,14,10,30,0,hygiene_scan
2026-09-01,engine-b,Engine B synthesis,system,active,0,0,0,0.2,synthesis insights=0 atomics=0 specs=0
2026-09-02,engine-a,Engine A hygiene,system,active,8,1,14,0,hygiene_scan
2026-09-02,engine-a,Engine A hygiene,system,active,6,1,0,0,hygiene_scan
2026-09-02,engine-a,Engine A hygiene,system,active,8,1,0,0,hygiene_scan
2026-09-02,engine-a,Engine A hygiene,system,active,6,1,0,0,hygiene_scan
2026-09-02,engine-a,Engine A hygiene,system,active,6,1,0,0,hygiene_scan
2026-09-02,engine-a,Engine A hygiene,system,active,6,1,0,0,hygiene_scan
2026-09-02,engine-a,Engine A hygiene,system,active,5,1,0,0,hygiene_scan
2026-09-02,engine-b,Engine B synthesis,system,active,0,0,0,0.2,synthesis insights=0 atomics=0 specs=0
2026-09-02,70aaa928,websites-scrape worksheets resources,hyperfixation,active,2,0,0,0.75,websites-scrape 70aaa928 urls=14 assets=5 failed=0
2026-09-02,5c7fb258,websites-scrape worksheets resources,hyperfixation,active,2,0,0,0.85,websites-scrape 5c7fb258 urls=14 assets=14 failed=0
2026-09-02,7e15970d,workbook loops,inbox,raw,5,0,0,0.75,workbook-loops rounds=26 created=5 elapsed=19.2m
